Time (s),Channel 1 (V),Channel 2 (V)
-0.001018019405940594,0.01184782065603431,-2.401844022689386
-0.001017689405940594,0.01218322988457703,-2.405531353068186
-0.001017359405940594,0.01285404834166218,-2.412906013825779
-0.001017029405940594,0.01386027602728808,-2.41659334420457
-0.001016699405940594,0.0148665037129158,-2.423968004962166
-0.001016369405940594,0.0158727313985417,-2.435029996098541
-0.001016039405940594,0.01687895908416897,-2.435029996098546
-0.001015709405940594,0.0175497775412532,-2.442404656856132
-0.001015379405940594,0.01855600522688032,-2.442404656856135
-0.001015049405940594,0.01922682368396455,-2.446091987234928
-0.001014719405940594,0.01956223291250712,-2.449779317613725
-0.001014389405940594,0.01956223291250712,-2.453466647992518
-0.001014059405940594,0.02056846059813393,-2.457153978371314
-0.001013729405940594,0.02123927905521817,-2.464528639128901
-0.001013399405940594,0.02224550674084529,-2.468215969507699
-0.001013069405940594,0.02291632519792952,-2.471903299886492
-0.001012739405940594,0.02358714365501437,-2.475590630265288
-0.001012409405940594,0.02459337134064026,-2.471903299886497
-0.001012079405940594,0.02492878056918344,-2.468215969507699
-0.001011749405940594,0.02559959902626737,-2.479277960644073
-0.001011419405940594,0.02627041748335253,-2.482965291022878
-0.001011089405940594,0.02694123594043646,-2.486652621401669
-0.001010759405940594,0.02794746362606388,-2.486652621401673
-0.001010429405940594,0.02828287285460584,-2.490339951780464
-0.001010099405940594,0.02895369131169038,-2.49402728215926
-0.001009769405940594,0.02928910054023265,-2.501401942916845
-0.001009439405940594,0.03063073745440142,-2.501401942916852
-0.001009109405940594,0.03130155591148596,-2.505089273295643
-0.001008779405940594,0.03163696514002869,-2.501401942916853
-0.001008449405940594,0.03230778359711354,-2.512463934053236
-0.001008119405940594,0.0326431928256555,-2.512463934053236
-0.001007789405940594,0.03331401128274065,-2.516151264432031
-0.001007459405940594,0.03432023896836655,-2.516151264432031
-0.001007129405940594,0.03499105742545155,-2.519838594810826
-0.001006799405940594,0.03532646665399367,-2.519838594810826
-0.001006469405940594,0.03532646665399382,-2.519838594810826
-0.001006139405940594,0.03633269433962017,-2.519838594810826
-0.001005809405940594,0.0366681035681629,-2.52352592518962
-0.001005479405940594,0.0366681035681629,-2.519838594810827
-0.001005149405940594,0.03733892202524744,-2.52352592518962
-0.001004819405940594,0.0386805589394159,-2.527213255568413
-0.001004489405940594,0.03935137739650105,-2.53090058594721
-0.001004159405940594,0.04035760508212695,-2.53090058594721
-0.001003829405940594,0.04069301431067014,-2.534587916326005
-0.001003499405940594,0.04169924199629603,-2.530900585947214
-0.001003169405940594,0.04203465122483922,-2.527213255568415
-0.001002839405940594,0.04237006045338118,-2.527213255568415
-0.001002509405940594,0.04270546968192376,-2.527213255568415
-0.001002179405940594,0.04304087891046572,-2.530900585947207
-0.001001849405940594,0.04371169736755057,-2.534587916326005
-0.001001519405940594,0.04404710659609253,-2.534587916326005
-0.001001189405940594,0.04471792505317707,-2.534587916326005
-0.001000859405940594,0.04538874351026131,-2.534587916326005
-0.001000529405940594,0.04605956196734615,-2.530900585947212
-0.001000199405940594,0.04605956196734692,-2.534587916326003
-0.0009998694059405941,0.04706578965297281,-2.530900585947212
-0.0009995394059405939,0.04740119888151554,-2.53090058594721
-0.0009992094059405941,0.04740119888151554,-2.53090058594721
-0.0009988794059405939,0.04840742656714235,-2.53090058594721
-0.0009985494059405941,0.04907824502422658,-2.53090058594721
-0.0009982194059405939,0.04941365425276915,-2.527213255568415
-0.0009978894059405941,0.05008447270985339,-2.527213255568415
-0.0009975594059405939,0.05008447270985369,-2.527213255568415
-0.0009972294059405942,0.05041988193839581,-2.530900585947208
-0.0009968994059405939,0.05075529116693824,-2.527213255568415
-0.0009965694059405942,0.05109070039548035,-2.523525925189622
-0.000996239405940594,0.05109070039548051,-2.516151264432031
-0.0009959094059405942,0.05176151885256474,-2.519838594810824
-0.000995579405940594,0.05209692808110732,-2.512463934053236
-0.0009952494059405942,0.05243233730964928,-2.519838594810819
-0.000994919405940594,0.05276774653819186,-2.516151264432031
-0.0009945894059405942,0.05310315576673382,-2.508776603674448
-0.000994259405940594,0.05377397422381867,-2.508776603674441
-0.0009939294059405942,0.05377397422381867,-2.50508927329565
-0.000993599405940594,0.05478020190944548,-2.501401942916852
-0.0009932694059405943,0.05444479268090351,-2.49771461253806
-0.000992939405940594,0.05478020190944548,-2.494027282159262
-0.0009926094059405943,0.05545102036652941,-2.490339951780471
-0.0009922794059405941,0.0551156111379879,-2.49402728215926
-0.0009919494059405943,0.05612183882361364,-2.490339951780471
-0.0009916194059405941,0.05578642959507244,-2.482965291022881
-0.0009912894059405939,0.05578642959507229,-2.479277960644081
-0.0009909594059405941,0.05578642959507229,-2.47559063026529
-0.0009906294059405939,0.05612183882361456,-2.471903299886492
-0.0009902994059405941,0.05612183882361456,-2.468215969507701
-0.0009899694059405939,0.05645724805215683,-2.468215969507699
-0.0009896394059405941,0.05679265728069895,-2.460841308750112
-0.0009893094059405939,0.05645724805215683,-2.457153978371314
-0.0009889794059405941,0.05712806650924106,-2.453466647992521
-0.0009886494059405939,0.05746347573778364,-2.449779317613725
-0.0009883194059405942,0.05746347573778364,-2.446091987234932
-0.000987989405940594,0.05779888496632591,-2.43871732647734
-0.0009876594059405942,0.05779888496632591,-2.435029996098547
-0.000987329405940594,0.05846970342341045,-2.435029996098546
-0.0009869994059405942,0.05914052188049468,-2.42765533534096
-0.000986669405940594,0.05880511265195272,-2.423968004962161
-0.0009863394059405942,0.05914052188049468,-2.423968004962161
-0.000986009405940594,0.05880511265195272,-2.420280674583366
-0.0009856794059405942,0.05846970342341076,-2.416593344204575
-0.000985349405940594,0.05947593110903725,-2.412906013825777
-0.0009850194059405942,0.05914052188049529,-2.401844022689403
-0.000984689405940594,0.05846970342341045,-2.401844022689393
-0.0009843594059405943,0.05880511265195242,-2.398156692310601
-0.0009840294059405941,0.05914052188049483,-2.387094701174218
